name,docked_protein,score,no_atoms,ligand_efficiency
1329,2jam,-6.36,27,-0.23555555555555557
1337,2jam,-5.35,30,-0.17833333333333332
1341,2jam,-6.03,27,-0.22333333333333336
1343,2jam,-7.66,34,-0.22529411764705884
1355,2jam,-6.23,26,-0.23961538461538462
1357,2jam,-5.47,22,-0.24863636363636363
1360,2jam,-4.68,34,-0.1376470588235294
1372,2jam,-5.97,28,-0.21321428571428572
1381,2jam,-7.66,30,-0.25533333333333336
1386,2jam,-6.06,31,-0.19548387096774192
1388,2jam,-6.73,27,-0.24925925925925926
1404,2jam,-4.11,26,-0.1580769230769231
1405,2jam,-5.19,24,-0.21625000000000003
1413,2jam,-5.85,24,-0.24375
1415,2jam,-4.52,30,-0.15066666666666664
1428,2jam,-5.69,32,-0.1778125
1432,2jam,-5.53,21,-0.26333333333333336
1433,2jam,-4.05,27,-0.15
1434,2jam,-6.07,26,-0.23346153846153847
1435,2jam,-7.66,30,-0.25533333333333336
1436,2jam,-8.04,31,-0.2593548387096774
1444,2jam,-7.21,29,-0.24862068965517242
1447,2jam,-8.48,33,-0.25696969696969696
1466,2jam,-7.08,28,-0.25285714285714284
1471,2jam,-6.47,30,-0.21566666666666665
1477,2jam,-5.47,34,-0.16088235294117648
1486,2jam,-5.41,30,-0.18033333333333335
1487,2jam,-6.36,27,-0.23555555555555557
1491,2jam,-6.69,33,-0.20272727272727273
1506,2jam,-6.22,30,-0.20733333333333331
1507,2jam,-5.61,31,-0.18096774193548387
1511,2jam,-6.76,31,-0.21806451612903224
1516,2jam,-6.89,27,-0.2551851851851852
1518,2jam,-7.06,28,-0.2521428571428571
1521,2jam,-5.1,21,-0.24285714285714283
1523,2jam,-6.17,25,-0.2468
1525,2jam,-5.61,26,-0.21576923076923077
1531,2jam,-6.67,27,-0.24703703703703703
1533,2jam,-7.06,28,-0.2521428571428571
1535,2jam,-6.44,28,-0.23
1536,2jam,-6.29,30,-0.20966666666666667
1539,2jam,-6.21,33,-0.18818181818181817
1548,2jam,-5.96,24,-0.24833333333333332
1553,2jam,-5.66,25,-0.22640000000000002
1571,2jam,-5.89,28,-0.21035714285714285
1576,2jam,-6.33,30,-0.211
1581,2jam,-5.7,26,-0.21923076923076923
1586,2jam,-6.93,27,-0.25666666666666665
1591,2jam,-5.71,26,-0.2196153846153846
1594,2jam,-6.56,25,-0.26239999999999997
1599,2jam,-5.75,27,-0.21296296296296297
1609,2jam,-6.63,26,-0.255
1612,2jam,-6.28,30,-0.20933333333333334
1622,2jam,-5.24,27,-0.1940740740740741
1624,2jam,-6.43,31,-0.20741935483870966
1630,2jam,-6.0,35,-0.17142857142857143
1631,2jam,-5.51,28,-0.19678571428571429
1637,2jam,-5.77,28,-0.20607142857142854
1638,2jam,-7.27,34,-0.2138235294117647
1651,2jam,-5.6,21,-0.26666666666666666
1657,2jam,-6.55,31,-0.21129032258064515
1660,2jam,-5.69,31,-0.1835483870967742
1666,2jam,-6.53,30,-0.21766666666666667
1673,2jam,-6.64,34,-0.1952941176470588
1676,2jam,-6.62,23,-0.28782608695652173
1687,2jam,-7.27,26,-0.2796153846153846
1689,2jam,-6.71,29,-0.2313793103448276
1690,2jam,-6.55,31,-0.21129032258064515
1691,2jam,-6.68,33,-0.20242424242424242
